left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z,left_heel_x,left_heel_y,left_heel_z,right_heel_x,right_heel_y,right_heel_z,left_foot_index_x,left_foot_index_y,left_foot_index_z,right_foot_index_x,right_foot_index_y,right_foot_index_z,Time,speed_left_ankle_x
-493.611236,3843.833182,-101.9621338,-775.0288269,3987.025881,-129.9786609,-623.776068,3755.782741,-591.4100602,-689.1875498,3864.788994,-624.7200854,-718.7088589,3523.786111,-996.5685708,-561.1854171,3783.512666,-1063.289399,-709.6479338,3508.067131,-1050.87065,-529.8374377,3772.765491,-1109.000354,-778.0917838,3287.869739,-1045.740739,-569.9758395,3600.711393,-1163.96871,7.7130559540889525,-4123.325889466588
-496.2989027,3859.039931,-100.2871296,-774.1174098,3999.989921,-124.1078101,-691.741802,3809.357615,-588.4235002,-681.8694907,3842.723339,-603.3056287,-862.852253,3553.830465,-992.3751216,-553.1910194,3763.709197,-1044.483521,-845.168256,3524.796566,-1050.245658,-521.8141369,3751.26285,-1085.56981,-999.171759,3368.286284,-1051.078484,-568.1187314,3599.932142,-1160.251546,7.747489239598278,-4186.164403654196
-496.7890057,3868.199277,-97.15155709,-769.4209043,4000.796019,-117.4294108,-740.2871319,3796.294283,-555.9852218,-676.8626,3830.550336,-590.3440093,-983.8463088,3577.112508,-969.1894492,-545.6082322,3742.202835,-1026.866482,-964.3939095,3535.290348,-1034.595046,-512.7224269,3729.598618,-1065.476138,-1189.414502,3448.123403,-1021.430323,-558.2870774,3587.613836,-1149.039402,7.781922525107603,-3513.869037191689
-496.0176205,3867.404319,-92.01797327,-762.7239978,3994.718941,-110.4504415,-776.9096951,3736.203882,-501.1220703,-675.9406634,3843.955227,-594.3435563,-1068.036718,3578.210311,-920.0362642,-543.5139195,3736.125139,-1023.61273,-1054.147207,3530.641789,-993.1006496,-509.0845491,3725.385227,-1064.306151,-1311.847373,3484.612323,-947.3939128,-553.0580406,3577.698693,-1142.06017,7.81635581061693,-2445.029800516623
-495.1212902,3862.730011,-85.66187287,-755.2204323,3987.491613,-103.1279706,-811.060915,3697.030217,-447.2696811,-675.8238605,3874.094016,-610.7886851,-1129.777352,3572.539955,-860.9686053,-546.1930123,3744.740309,-1032.746693,-1124.899491,3528.697292,-939.9560529,-511.0133918,3737.735216,-1078.668402,-1382.422957,3492.086293,-861.5020124,-553.3561517,3575.356089,-1141.566713,7.850789096126255,-1793.0509124166788
-493.3390255,3855.69805,-78.91425637,-747.6009933,3979.88565,-95.77771914,-842.1942846,3705.433945,-406.0324124,-674.2592217,3900.267715,-628.1127609,-1193.116831,3585.850218,-811.6409192,-549.8894867,3756.576114,-1043.555833,-1194.050957,3544.258511,-895.2270557,-513.9564652,3752.560075,-1093.755173,-1439.557562,3502.993275,-788.7067498,-554.0596232,3576.164579,-1142.808011,7.885222381635581,-1839.4840359583452
-489.80376,3844.091051,-71.93305307,-741.3644287,3972.650798,-89.27892762,-862.8320245,3726.440459,-373.7564673,-672.4194043,3910.234898,-637.8667279,-1258.665237,3615.909696,-776.5976629,-551.9809039,3763.02618,-1048.865491,-1258.955735,3563.994994,-864.303454,-514.6420571,3759.549484,-1100.316373,-1496.396399,3525.003505,-728.9607443,-553.2300563,3575.671041,-1142.707889,7.919655667144906,-1903.6349575833428
-486.2265489,3832.613143,-65.45736085,-738.2908977,3969.820395,-84.61276916,-868.6896198,3722.400352,-349.0278138,-671.7379907,3907.226085,-639.3868186,-1303.299517,3633.826207,-750.1667698,-552.3709556,3763.696339,-1049.259942,-1299.409991,3562.434427,-840.8283126,-513.6430761,3759.803738,-1100.497007,-1535.807417,3541.220025,-679.2528797,-551.9101683,3573.153452,-1141.510539,7.954088952654232,-1296.2538816666415
-485.1751702,3829.665134,-60.98122502,-738.5784054,3973.82375,-82.11573502,-862.4523927,3698.300774,-336.3136936,-671.769056,3901.199936,-637.265608,-1312.905774,3626.455975,-731.6516391,-552.2587549,3762.758348,-1048.665037,-1306.555394,3539.540245,-822.871549,-512.982526,3759.544141,-1100.367798,-1542.517957,3537.650369,-646.1191318,-550.2766241,3569.428277,-1139.906465,7.988522238163558,-278.9817137083393
-486.3532882,3835.325576,-59.08335965,-740.2643013,3981.113104,-81.09448502,-851.3509976,3683.943479,-335.0466923,-671.6584201,3898.151398,-636.0586667,-1297.279996,3611.069017,-725.355721,-552.5384006,3763.457937,-1049.149457,-1293.112016,3521.618891,-814.9369609,-513.4099085,3762.086876,-1102.293789,-1523.257725,3520.313192,-635.055732,-548.0356093,3566.120935,-1138.459579,8.022955523672884,453.79863608332704
-486.9261367,3841.673079,-58.810778,-740.7446747,3985.68429,-80.62354515,-839.9126479,3686.001168,-337.7664709,-671.4284965,3897.668849,-636.5729823,-1268.699044,3597.985226,-729.7766008,-553.267644,3765.960906,-1050.253818,-1270.663285,3519.479806,-817.0735295,-514.3162471,3766.545044,-1105.132182,-1494.251081,3505.702235,-644.1907126,-546.365415,3565.257578,-1138.042577,8.057388809182209,830.0384810000277
-485.2941342,3843.724036,-59.01920392,-738.825102,3985.060821,-80.96727313,-822.5725156,3674.895322,-341.1069148,-670.7627756,3895.081408,-635.1191766,-1221.183886,3566.696772,-739.2299245,-553.7454993,3767.663279,-1050.645953,-1229.742817,3508.461102,-825.2760942,-514.4139167,3769.046662,-1106.642803,-1456.484633,3495.059854,-672.1531652,-546.0430368,3565.49095,-1138.027364,8.091822094691535,1379.9193802499715
-482.7166237,3843.486645,-59.62345161,-735.2231593,3980.317105,-83.5334921,-791.3082166,3633.591037,-354.0185574,-667.8993086,3883.426114,-626.4226919,-1142.711734,3504.637475,-757.8896807,-552.8060035,3764.815934,-1048.760669,-1153.176378,3468.17132,-843.9636158,-512.14411,3764.397542,-1103.629775,-1391.437772,3467.829847,-722.1720275,-544.9337175,3561.731769,-1135.846082,8.12625538020086,2278.9620810000756
-481.3362104,3844.388625,-61.39848467,-731.7604774,3972.896477,-88.88808698,-752.4866165,3602.118571,-390.3977166,-661.7587324,3858.91851,-609.7195093,-1041.951465,3449.550913,-800.4678162,-550.1047647,3757.02074,-1043.798506,-1044.916067,3423.675943,-885.0270987,-507.4931476,3752.586199,-1094.646454,-1287.145911,3414.458369,-794.5504531,-541.750191,3554.860825,-1131.777505,8.160688665710186,2926.2461455416073
-482.2171391,3847.594566,-64.91061139,-731.2166519,3966.544804,-95.84269558,-720.0081453,3630.881833,-449.5088836,-655.541142,3829.864815,-592.6647311,-942.8496468,3449.833645,-869.2598407,-547.6643469,3750.945576,-1038.117231,-929.6029623,3415.392511,-946.998976,-503.8261115,3743.893143,-1085.265039,-1155.372959,3358.382349,-878.3475909,-541.6532813,3556.76099,-1131.559994,8.195121951219512,2878.081970224949
-485.2900214,3854.091806,-69.75638785,-736.8635171,3970.333278,-103.4456996,-687.5548009,3695.128107,-507.0211701,-655.8672742,3816.213789,-586.5357247,-847.5636696,3489.780055,-937.9621241,-548.640375,3754.328649,-1036.633708,-819.1299165,3439.482153,-1004.893082,-505.3235318,3748.778736,-1085.238528,-1007.924796,3321.477166,-952.090675,-550.68761,3572.078286,-1137.584083,8.229555236728837,2767.263587850088
-489.4476441,3864.777241,-74.77366095,-749.167306,3990.98915,-112.5095566,-629.36013,3713.386338,-534.717482,-665.7453311,3831.670519,-595.5619749,-729.3179869,3507.65388,-974.2163042,-553.2116035,3763.770662,-1040.895979,-698.2637221,3458.927764,-1033.465338,-511.3514786,3760.991711,-1095.954762,-837.0060554,3294.340067,-997.875911,-562.8786603,3579.875644,-1139.959483,8.263988522238163,3434.051701745767
-492.2148055,3875.551813,-79.11643831,-762.7837936,4019.618225,-123.722166,-536.9427846,3656.978337,-529.5441243,-679.0872061,3864.565276,-612.6698122,-574.7806809,3489.15165,-977.1514694,-557.1760018,3765.578578,-1045.741978,-553.6594288,3467.941836,-1036.923476,-515.9469476,3762.059575,-1106.058593,-641.4668759,3271.129842,-1020.303625,-562.9108098,3557.149258,-1127.783433,8.29842180774749,4488.020928416583
-491.0084485,3876.936794,-83.06868078,-769.7723053,4033.589392,-135.3202736,-434.42799,3584.431263,-514.6037215,-685.319285,3884.01734,-627.386077,-409.2132484,3483.832215,-974.6863747,-556.635416,3753.531852,-1045.625954,-398.966056,3496.68161,-1040.717916,-514.849875,3746.32277,-1105.278591,-447.215827,3279.516526,-1042.541161,-546.4326555,3518.800454,-1108.421681,8.332855093256814,4808.35418552099
-485.8383085,3864.135261,-87.21922976,-767.0257294,4017.823731,-144.0350081,-348.3549959,3557.947043,-510.1942804,-680.4910676,3871.054102,-635.5819956,-263.9841814,3516.344282,-978.3374177,-552.7790867,3737.782836,-1041.899413,-257.3033201,3543.983948,-1049.799702,-510.6093749,3728.377876,-1096.923892,-275.9400991,3336.090735,-1070.921652,-527.2891125,3503.611815,-1100.726309,8.36728837876614,4217.694154124919
-479.7923466,3845.085722,-90.90675656,-759.0006352,3981.200636,-147.9386463,-280.1942759,3573.778206,-511.3991796,-671.2027341,3838.042088,-639.3877657,-141.187927,3540.255696,-960.0018987,-549.7427631,3730.261638,-1039.567833,-133.7814173,3558.433677,-1032.155623,-508.4287891,3721.027412,-1090.553456,-117.858788,3399.192654,-1072.425964,-519.1580485,3520.787203,-1109.021565,8.401721664275465,3566.207888200116
