0_pos_x,0_pos_y,0_pos_z
-1975.925537,810.267761,1193.279419
-1973.983154,811.864563,1193.143433
-1972.032959,813.544434,1193.009766
-1970.037842,815.191345,1192.901123
-1967.828857,816.94751,1192.751465
-1965.661133,818.630737,1192.671631
-1963.411499,820.306396,1192.526611
-1961.114014,822.049194,1192.428101
-1958.852417,823.824097,1192.282349
-1956.325195,825.647156,1192.228516
-1953.896606,827.419373,1192.159302
-1950.724487,829.416321,1192.219116
-1947.632202,831.415344,1192.238281
-1944.823364,833.306641,1192.197998
-1941.946655,835.25116,1192.129395
-1939.366455,837.167786,1192.189087
-1937.350098,839.072632,1192.241943
-1934.777344,840.982605,1192.309937
-1931.485596,843.121948,1192.437866
-1928.405396,845.143738,1192.315552
-1925.049438,847.196411,1192.377319
-1921.9552,849.162781,1192.395874
-1918.849121,851.146545,1192.382202
-1915.719604,853.086182,1192.447754
-1912.53894,855.038025,1192.436646
-1909.137085,857.114258,1192.414673
-1905.708008,858.812744,1192.112305
-1902.132202,860.677307,1191.939087
-1898.907593,862.48999,1192.0177
-1895.263794,864.460876,1192.067627
-1891.64624,866.442505,1192.007568
-1888.133179,868.362366,1192.00769
-1884.662476,870.311951,1192.016235
-1881.077148,872.266235,1192.022705
-1877.203125,874.306091,1192.064209
-1873.504517,876.263794,1192.150635
-1869.715088,878.320068,1192.168091
-1865.834595,880.337646,1192.248047
-1861.892334,882.403259,1192.364868
-1858.115112,884.408875,1192.456909
-1854.053589,886.482056,1192.61438
-1850.099731,888.546753,1192.78833
-1846.106934,890.61084,1192.945557
-1842.049927,892.6651,1193.137817
-1838.025269,894.753967,1193.31189
-1833.890747,896.820862,1193.521729
-1829.707275,898.880676,1193.764282
-1825.318237,900.92627,1194.050415
-1820.952271,903.005554,1194.306763
-1816.863159,905.025146,1194.552002
-1812.726685,906.96167,1194.994385
-1808.440063,908.964661,1195.287231
-1804.133545,911.041016,1195.640747
-1799.056885,913.013062,1195.889648
-1794.112793,915.044128,1196.145752
-1789.595947,917.047424,1196.54834
-1784.869141,919.194336,1196.84314
-1780.299805,921.235535,1197.208862
-1775.548096,923.211792,1197.701782
-1771.836182,925.313049,1198.196411
-1767.321289,927.314697,1198.740234
-1762.508789,929.261353,1199.181519
-1757.711548,931.185486,1199.755981
-1752.772949,933.120361,1200.295776
-1747.905884,935.064636,1200.790039
-1743.067139,936.94397,1201.314087
-1738.147827,938.780212,1201.872314
-1733.02832,940.699829,1202.420654
-1728.061035,942.506653,1202.890991
-1722.964233,944.281372,1203.424194
-1717.744995,946.070313,1204.034302
-1712.740601,947.843384,1204.498413
-1707.440552,949.561951,1205.070313
-1702.319946,951.30188,1205.614624
-1697.174927,953.037415,1206.064575
-1691.848145,954.770996,1206.698486
-1686.888062,956.731201,1207.459839
-1681.584473,958.511719,1208.220459
-1676.368408,960.215881,1208.723389
-1671.018066,961.864319,1209.306519
-1665.693604,963.535217,1209.854492
-1660.195923,965.243408,1210.30896
-1655.771851,966.869202,1210.517578
-1650.473022,968.533875,1210.84082
-1645.706543,970.327026,1211.363525
-1640.647339,972.024109,1211.78186
-1635.231445,973.62793,1212.184082
-1628.47937,974.937317,1212.588501
-1622.682739,976.092102,1212.950195
-1618.440308,977.434082,1212.992432
-1614.047485,979.016174,1213.324463
-1608.628906,980.568176,1213.688599
-1602.220947,982.421021,1214.010376
-1596.028931,984.098877,1214.320068
-1591.700684,984.804932,1214.290649
-1586.441162,985.737427,1214.373047
-1580.869995,987.024719,1214.727905
-1575.461792,988.386414,1215.649536
-1570.586792,989.693665,1216.227051
-1565.279419,991.072937,1216.703857
-1559.512329,992.312744,1216.654053
-1553.633179,993.841431,1216.567383
-1547.44165,995.400513,1216.319092
-1542.093628,997.108887,1215.401367
-1536.135376,998.48761,1214.96936
-1529.713989,999.266418,1214.741211
-1524.060669,1000.180176,1214.269775
-1517.815552,1001.726074,1214.396606
-1512.430298,1003.205688,1214.019165
-1506.600952,1004.079285,1213.656982
-1501.003174,1005.312622,1213.32312
-1495.261353,1006.583496,1213.009888
-1489.302124,1008.265442,1212.922974
-1483.120117,1009.541077,1212.705444
-1476.941772,1010.975159,1212.405151
-1471.328125,1012.15979,1211.878784
-1465.615845,1013.420044,1211.386475
-1459.883179,1014.61261,1210.848999
-1454.194946,1015.888489,1210.257935
-1448.499146,1017.057129,1209.613037
-1442.868408,1018.275696,1208.961548
-1437.460083,1019.529663,1208.301758
-1431.598999,1020.723022,1207.481812
