freq=240.00Hz 
type, time, id, pos_x, pos_y, pos_z, rot_w, rot_x, rot_y, rot_z, cond
M, 508504167, 0, -1950.724487, 829.416321, 1192.219116, 1, 0, 0, 0, 12.71
M, 508508333, 0, -1947.632202, 831.415344, 1192.238281, 1, 0, 0, 0, 12.70
M, 508512500, 0, -1944.823364, 833.306641, 1192.197998, 1, 0, 0, 0, 12.68
M, 508516667, 0, -1941.946655, 835.251160, 1192.129395, 1, 0, 0, 0, 12.67
M, 508520833, 0, -1939.366455, 837.167786, 1192.189087, 1, 0, 0, 0, 11.45
M, 508525000, 0, -1937.350098, 839.072632, 1192.241943, 1, 0, 0, 0, 18.32
M, 508529167, 0, -1934.777344, 840.982605, 1192.309937, 1, 0, 0, 0, 18.29
M, 508533333, 0, -1931.485596, 843.121948, 1192.437866, 1, 0, 0, 0, 11.41
M, 508537500, 0, -1928.405396, 845.143738, 1192.315552, 1, 0, 0, 0, 12.43
M, 508541667, 0, -1925.049438, 847.196411, 1192.377319, 1, 0, 0, 0, 12.42
M, 508545833, 0, -1921.955200, 849.162781, 1192.395874, 1, 0, 0, 0, 12.40
M, 508550000, 0, -1918.849121, 851.146545, 1192.382202, 1, 0, 0, 0, 12.38
M, 508554167, 0, -1915.719604, 853.086182, 1192.447754, 1, 0, 0, 0, 12.37
M, 508558333, 0, -1912.538940, 855.038025, 1192.436646, 1, 0, 0, 0, 12.35
M, 508562500, 0, -1909.137085, 857.114258, 1192.414673, 1, 0, 0, 0, 12.33
M, 508566667, 0, -1905.708008, 858.812744, 1192.112305, 1, 0, 0, 0, 13.84
M, 508570833, 0, -1902.132202, 860.677307, 1191.939087, 1, 0, 0, 0, 13.82
M, 508575000, 0, -1898.907593, 862.489990, 1192.017700, 1, 0, 0, 0, 12.44
M, 508579167, 0, -1895.263794, 864.460876, 1192.067627, 1, 0, 0, 0, 12.42
M, 508583333, 0, -1891.646240, 866.442505, 1192.007568, 1, 0, 0, 0, 12.40
M, 508587500, 0, -1888.133179, 868.362366, 1192.007690, 1, 0, 0, 0, 12.38
M, 508591667, 0, -1884.662476, 870.311951, 1192.016235, 1, 0, 0, 0, 12.36
M, 508595833, 0, -1881.077148, 872.266235, 1192.022705, 1, 0, 0, 0, 12.34
M, 508600000, 0, -1877.203125, 874.306091, 1192.064209, 1, 0, 0, 0, 12.32
