0_pos_x,0_pos_y,0_pos_z
-1723.747437,902.469238,1188.425171
-1719.622803,903.460083,1188.670898
-1715.241821,904.644165,1188.85022
-1711.325806,905.562073,1189.045776
-1707.113892,906.663269,1189.155518
-1702.70813,907.791321,1189.320068
-1698.232544,908.941162,1189.404907
-1694.0271,910.091248,1189.533081
-1689.777954,911.257568,1189.564087
-1685.476196,912.405762,1189.532959
-1681.02832,913.652588,1189.498657
-1676.557861,914.706482,1189.170898
-1672.172241,916.120483,1189.257813
-1666.517212,917.50177,1189.253052
-1663.260132,918.666016,1188.911011
-1658.893188,919.93042,1188.650635
-1654.358276,921.312317,1188.362305
-1648.229736,922.738953,1188.211914
-1644.230713,923.999695,1187.853027
-1638.274536,925.47229,1187.5448
-1636.077026,926.64801,1186.822876
-1631.753052,928.083435,1186.321533
-1627.21814,929.465332,1185.815308
-1621.706665,930.846191,1185.33313
-1616.285889,932.067383,1184.876953
-1610.627563,933.763916,1184.454224
-1604.795776,935.426514,1184.040283
-1601.224609,936.836548,1183.256348
-1597.080566,938.589966,1182.462646
-1594.512573,940.089355,1181.496338
-1590.759399,941.614441,1180.678955
-1586.699341,943.396606,1179.685547
-1582.146729,944.807312,1178.508057
-1578.428589,946.248596,1177.434082
-1574.416504,947.765076,1176.292236
-1570.005737,948.969543,1175.045288
-1565.492798,950.151733,1173.835327
-1561.006226,951.821045,1172.593018
-1556.631958,952.678345,1171.239258
-1551.830444,954.15155,1169.957886
-1547.085449,955.769348,1168.218506
-1543.153687,957.652771,1166.824707
-1538.588135,959.404541,1165.379395
-1533.625977,960.881348,1163.953369
-1528.867188,961.879517,1162.305664
-1524.644287,963.501648,1160.866211
-1519.724243,964.995056,1159.259766
-1514.541748,966.114868,1157.844971
-1508.452026,968.132874,1156.389282
-1501.82666,969.826843,1155.368286
-1495.890503,971.595093,1154.041382
-1490.754517,973.129822,1152.19751
-1485.651123,974.927856,1150.448486
-1479.959595,976.427734,1148.795166
-1475.253052,977.841003,1146.607788
-1470.341309,979.27887,1144.687378
-1464.518921,980.89978,1142.733276
-1458.734131,982.645203,1140.812378
-1453.847534,984.950623,1138.755005
-1448.73584,986.896484,1136.649292
-1443.362671,988.806152,1134.865601
-1437.392578,990.60437,1133.522949
-1431.959961,992.407593,1131.958984
-1426.350952,993.524353,1130.328369
-1420.567627,994.740784,1128.839478
-1415.271484,996.370667,1127.245361
-1410.141113,997.981812,1125.55835
-1405.483154,999.290283,1123.481445
-1400.24585,1000.489319,1121.726196
-1395.175171,1001.934448,1120.012817
-1389.711304,1003.076355,1118.362793
-1384.287964,1004.478516,1116.956421
-1377.89502,1005.619446,1115.889526
-1372.003052,1006.230652,1114.583618
-1366.126221,1006.729065,1113.270142
-1360.140991,1007.654358,1112.104492
-1353.876709,1008.870544,1111.054932
-1348.688965,1010.396667,1109.022583
-1342.701172,1010.969604,1107.696899
-1336.624023,1011.786377,1106.415161
-1330.861206,1012.488525,1104.969604
-1325.217651,1013.118774,1103.697876
-1319.779297,1014.02179,1102.248779
-1313.698486,1014.413147,1100.938232
-1308.445801,1015.32251,1099.470093
-1302.536865,1015.898987,1098.019165
-1297.737915,1015.97467,1096.550537
-1292.468384,1016.293945,1094.992188
-1287.245239,1016.972229,1093.421265
-1281.277466,1017.594299,1092.114746
-1276.139771,1017.751892,1090.818115
-1270.654541,1017.765076,1089.582031
-1265.308838,1017.936401,1088.435547
-1259.278076,1017.487244,1087.570801
-1253.300293,1017.087158,1086.874756
-1247.727417,1017.04541,1085.768433
-1241.942871,1016.806152,1084.685059
-1236.348511,1016.631897,1083.666016
